,word,synonyms,category,definition
0,carp,,fish,any of various freshwater fish of the family Cyprinidae
1,goldfish,Carassius_auratus,fish,small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes
2,seahorse,sea_horse,fish,small fish with horse-like heads bent sharply downward and curled tails; swim in upright position
3,shark,,fish,any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales
4,ray,,fish,cartilaginous fishes having horizontally flattened bodies and enlarged winglike pectoral fins with gills on the underside; most swim by moving the pectoral fins
5,sawfish,,fish,primitive ray with sharp teeth on each edge of a long flattened snout
6,ostrich,Struthio_camelus,bird,fast-running African flightless bird with two-toed feet; largest living bird
7,sparrow,dunnock Prunella_modularis,bird,small brownish European songbird
8,finch,,bird,any of numerous small songbirds with short stout bills adapted for crushing seeds
9,canary,,bird,any of several small Old World finches
10,sparrow,,bird,any of several small dull-colored singing birds feeding on seeds or insects
11,blackbird,merl merle ouzel ousel Turdus_merula,bird,common black European thrush
12,robin,Turdus_migratorius,bird,large American thrush having a rust-red breast and abdomen
13,nightingale,Luscinia_megarhynchos,bird,European songbird noted for its melodious nocturnal song
14,blackbird,,bird,any bird of the family Icteridae whose male is black or predominantly black
15,crow,,bird,black birds having a raucous call
16,raven,Corvus_corax,bird,large black bird with a straight bill and long wedge-shaped tail
17,jackdaw,Corvus_monedula,bird,common black-and-grey Eurasian bird noted for thievery
18,jay,,bird,crested largely blue bird
19,wren,,bird,any of several small active brown birds of the northern hemisphere with short upright tails; they feed on insects
20,nuthatch,nutcracker,bird,any of various small short-tailed songbirds with strong feet and a sharp beak that feed on small nuts and insects
21,tit,,bird,small insectivorous birds
22,swallow,,bird,small long-winged songbird noted for swift graceful flight and the regularity of its migrations
23,hawk,,bird,diurnal bird of prey typically having short rounded wings and a long tail
24,falcon,,bird,diurnal birds of prey having long pointed powerful wings adapted for swift flight
25,kestrel,Falco_tinnunculus,bird,small Old World falcon that hovers in the air against a wind
26,kestrel,American_kestrel kestrel Falco_sparverius,bird,small North American falcon
27,eagle,bird_of_Jove,bird,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight
28,vulture,,bird,any of various large diurnal birds of prey having naked heads and weak claws and feeding chiefly on carrion
29,owl,bird_of_Minerva bird_of_night hooter,bird,nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes
30,salamander,,amphibian,any of various typically terrestrial amphibians that resemble lizards and that return to water only to breed
31,newt,triton,amphibian,small usually bright-colored semiaquatic salamanders of North America and Europe and northern Asia
32,frog,toad anuran batrachian salientian,amphibian,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
33,blindworm,blindworm,amphibian,any of the small slender limbless burrowing wormlike amphibians of the order Gymnophiona; inhabit moist soil in tropical regions
34,turtle,,reptile,any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming
35,tortoise,,reptile,usually herbivorous land turtles having clawed elephant-like limbs; worldwide in arid area except Australia and Antarctica
36,saurian,,reptile,any of various reptiles of the suborder Sauria which includes lizards; in former classifications included also the crocodiles and dinosaurs
37,lizard,,reptile,relatively long-bodied reptile with usually two pairs of legs and a tapering tail
38,gecko,,reptile,any of various small chiefly tropical and usually nocturnal insectivorous terrestrial lizards typically with immovable eyelids; completely harmless
39,iguana,Iguana_iguana,reptile,large herbivorous tropical American arboreal lizards with a spiny crest along the back; used as human food in Central America and South America
40,swift,swift blue-belly Sceloporus_occidentalis,reptile,common western lizard; seen on logs or rocks
41,blindworm,slowworm Anguis_fragilis,reptile,small burrowing legless European lizard with tiny eyes; popularly believed to be blind
42,chameleon,chamaeleon,reptile,lizard of Africa and Madagascar able to change skin color and having a projectile tongue
43,crocodile,,reptile,large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters
44,snake,serpent ophidian,reptile,limbless scaly elongate reptile; some are venomous
45,boa,,reptile,any of several chiefly tropical constrictors with vestigial hind limbs
46,python,,reptile,large Old World boas
47,coral_snake,harlequin-snake,reptile,any of several venomous New World snakes brilliantly banded in red and black and either yellow or white; widely distributed in South America and Central America
48,copperhead,Denisonia_superba,reptile,venomous but sluggish reddish-brown snake of Australia
49,sea_snake,,reptile,any of numerous venomous aquatic viviparous snakes having a fin-like tail; of warm littoral seas; feed on fish which they immobilize with quick-acting venom
50,cottonmouth,cottonmouth cottonmouth_moccasin Agkistrodon_piscivorus,reptile,venomous semiaquatic snake of swamps in southern United States
51,rattlesnake,rattler,reptile,pit viper with horny segments at the end of the tail that rattle when shaken
52,sidewinder,horned_rattlesnake Crotalus_cerastes,reptile,small pale-colored desert rattlesnake of southwestern United States; body moves in an s-shaped curve
53,harvestman,daddy_longlegs Phalangium_opilio,invertebrate,spiderlike arachnid with a small rounded body and very long thin legs
54,scorpion,,invertebrate,arachnid of warm dry regions having a long segmented tail ending in a venomous stinger
55,spider,,invertebrate,"predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey"
56,tarantula,,invertebrate,large hairy tropical spider with fangs that can inflict painful but not highly venomous bites
57,tarantula,tarantula Lycosa_tarentula,invertebrate,large southern European spider once thought to be the cause of tarantism (uncontrollable bodily movement)
58,biddy,biddy,bird,young bird especially of domestic fowl
59,rooster,rooster,bird,adult male chicken
60,biddy,biddy,bird,adult female chicken
61,turkey,Meleagris_gallopavo,bird,large gallinaceous bird with fan-shaped tail; widely domesticated for food
62,pheasant,,bird,large long-tailed gallinaceous bird native to the Old World but introduced elsewhere
63,peacock,,bird,male peafowl; having a crested head and very large fanlike tail marked with iridescent eyes or spots
64,pigeon,,bird,wild and domesticated birds having a heavy body and short legs
65,dove,,bird,any of numerous small pigeons
66,parrot,,bird,usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
67,parakeet,parrakeet parroket paraquet paroquet parroquet,bird,any of numerous small slender long-tailed parrots
68,cuckoo,,bird,any of numerous European and North American birds having pointed wings and a long tail
69,kookaburra,laughing_jackass Dacelo_gigas,bird,Australian kingfisher having a loud cackling cry
70,swift,,bird,a small bird that resembles a swallow and is noted for its rapid flight
71,woodpecker,peckerwood,bird,bird with strong claws and a stiff tail adapted for climbing and a hard chisel-like bill for boring into wood for insects
72,duck,,bird,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
73,mallard,Anas_platyrhynchos,bird,wild dabbling duck from which domestic ducks are descended; widely distributed
74,goose,,bird,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
75,swan,,bird,stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult
76,anteater,spiny_anteater anteater,mammal,a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to Australia
